# Acquisition Start Time: 2025-07-25 23:33:14.884
# Event recording for acquisition session
# Data source: 事件数据
# Contains error_range for patient training

time(s),event_name,stage,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,error_range
36.471806,开始训练,阶段1,1390.075645450709,2079.0465176667576,974.8834594755164,2225.3338332699986,1434.8528643767343,1706.0938794562858,1006.257878868847,1958.6468926689056,793.5314008754685,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
39.02401,完成阶段,阶段1,1390.158326771115,2069.8147015242544,949.466205313548,2334.559708823773,2224.828597968176,1816.9191097579514,1007.7261179651468,1935.423672431412,947.9118776075945,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
43.13465,开始矫正,阶段2,1391.9832060669282,1665.568658954792,972.5846280739341,2305.463664711212,1410.561773339937,1776.3325822632328,1013.5688687966574,1503.9023275533434,893.6767822604903,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
45.313507,矫正完成,阶段2,1395.6796757520842,1613.894964123613,960.3841468178832,2289.323708311931,2107.9881345866506,1745.9934420797408,1026.0250379007405,1442.4568713044623,847.0171204728434,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
52.264403,开始矫正,阶段2,1391.232726632934,1606.9457929872372,971.1277845667811,2276.841416075261,1412.6670717048999,1736.3957980851133,1017.2303967651435,1450.2548116200305,834.7400753137591,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
57.540932,矫正完成,阶段2,1390.8709742536075,1642.7739680423113,946.4230640987248,2274.102265877778,2255.126317681328,1724.2223309676688,1022.6076761340277,1481.1790758455497,816.5699651676042,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
64.790295,开始矫正,阶段2,1381.515455307746,2131.7915513602647,969.2854840572278,2176.1048845351875,1433.2351153296727,1573.515993867068,1007.8627136313013,2012.2230875291445,610.2641622292601,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
68.164512,开始矫正,阶段2,1380.589938893,2133.038609076717,963.3022133431917,2231.414639840335,1418.9936061737992,1647.0889823507584,1006.8746098472983,2016.7609436694222,715.1312238540131,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
69.431071,开始矫正,阶段2,1380.0092177711736,2137.4863082338893,963.7149531551732,2228.7399926586827,1415.8663112961572,1645.19920080076,1007.4674630725847,2021.3462012665307,712.002592171479,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
70.024226,开始矫正,阶段2,1380.5634868267682,2138.376145637301,962.6654151545906,2228.582985449067,1415.0172596120415,1644.6762399751303,1006.4699271053998,2022.01760580529,711.8406337183956,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
